departure_city,destination_city,country,date_depart,departure_time_difference,departure_status,airline,airline_type,cleaned_airline
Berlin,Frankfurt,Germany,2024-07-01,0,Cancelled,Lufthansa (LH),premium,Lufthansa
Berlin,Helsinki,Finland,2024-07-01,0,On Time,Finnair (AY),premium,Finnair
Berlin,Saarbrücken,Germany,2024-07-01,161,Delayed,Danish Air Transport (DX),premium,Danish Air Transport
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,Heraklion,Greece,2024-07-01,0,On Time,SUNDAIR (SDR),budget,Sundair
Berlin,Bari,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Amsterdam,Netherlands,2024-07-01,0,On Time,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Paphos,Cyprus,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Marsa Alam,Egypt,2024-07-01,0,On Time,Air Cairo (SM),budget,Air Cairo
Berlin,Oslo,Norway,2024-07-01,40,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Berlin,Kutaisi,Georgia,2024-07-01,0,On Time,Wizz Air (W6),budget,Wizz Air
Berlin,Rome FCO,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Edinburgh,United Kingdom,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Belgrade,Serbia,2024-07-01,125,Delayed,Air Serbia (JU),premium,Air Serbia
Berlin,Antalya,Turkey,2024-07-01,75,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Berlin,Basel,Switzerland,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Paris CDG,France,2024-07-01,0,On Time,Air France (AF),premium,Air France
Berlin,Zurich,Switzerland,2024-07-01,0,On Time,Swiss (LX),premium,Swiss
Berlin,Doha,Qatar,2024-07-01,0,On Time,Qatar Airways (QR),premium,Qatar Airways
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,London LTN,United Kingdom,2024-07-01,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Berlin,Birmingham,United Kingdom,2024-07-01,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,New York EWR,United States,2024-07-01,55,Delayed,United Airlines (UA),premium,United Airlines
Berlin,Palma de Mallorca,Spain,2024-07-01,40,Delayed,Eurowings (EW),budget,Eurowings
Berlin,London STN,United Kingdom,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Gothenburg GOT,Sweden,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Copenhagen,Denmark,2024-07-01,17,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Berlin,Heraklion,Greece,2024-07-01,0,On Time,Corendon Airlines Europe (CXI),budget,Corendon Airlines Europe
Berlin,New York JFK,United States,2024-07-01,160,Delayed,Delta Air Lines (DL),premium,Delta Air Lines
Berlin,Manchester,United Kingdom,2024-07-01,25,Delayed,easyJet UK (U2),budget,Easyjet Uk
Berlin,Catania,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Helsinki,Finland,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,London LGW,United Kingdom,2024-07-01,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Berlin,Barcelona,Spain,2024-07-01,0,On Time,Vueling Airlines (VY),budget,Vueling Airlines
Berlin,Tunis,Tunisia,2024-07-01,0,On Time,Nouvelair Tunisie (BJ),budget,Nouvelair Tunisie
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Istanbul IST,Turkey,2024-07-01,60,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Berlin,Munich,Germany,2024-07-01,20,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Zurich,Switzerland,2024-07-01,10,Delayed,Swiss (LX),premium,Swiss
Berlin,Tel Aviv,Israel,2024-07-01,0,On Time,EL AL- Israel Airlines (LY),premium,El Al- Israel Airlines
Berlin,Antalya,Turkey,2024-07-01,0,On Time,Sun Express (XQ),budget,Sun Express
Berlin,London LHR,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Warsaw,Poland,2024-07-01,0,On Time,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,Marrakech,Morocco,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Madrid,Spain,2024-07-01,0,On Time,IBERIA Express (IBS),budget,Iberia Express
Berlin,Athens,Greece,2024-07-01,0,On Time,Aegean Airlines (A3),premium,Aegean Airlines
Berlin,Milan MXP,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Tel Aviv,Israel,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Erbil,Iraq,2024-07-01,0,On Time,UR Airlines (UBD),budget,Ur Airlines
Berlin,Singapore,Singapore,2024-07-01,0,On Time,Scoot (TR),budget,Scoot
Berlin,Antalya,Turkey,2024-07-01,0,On Time,Freebird Airlines (FHY),budget,Freebird Airlines
Berlin,Brussels,Belgium,2024-07-01,0,On Time,Brussels Airlines (SN),premium,Brussels Airlines
Berlin,London LCY,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Marsa Alam,Egypt,2024-07-01,41,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Paris CDG,France,2024-07-01,0,On Time,Air France (AF),premium,Air France
Berlin,Amsterdam,Netherlands,2024-07-01,0,On Time,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Reykjavik,Iceland,2024-07-01,0,On Time,(OG),budget,One-Two-Go Airlines
Berlin,Istanbul SAW,Turkey,2024-07-01,0,On Time,(VF),budget,Valujet Airlines
Berlin,Antalya,Turkey,2024-07-01,105,Delayed,Sun Express (XQ),budget,Sun Express
Berlin,Dusseldorf,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Split,Croatia,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Bologna,Italy,2024-07-01,10,Delayed,Ryanair (FR),budget,Ryanair
Berlin,London LHR,United Kingdom,2024-07-01,85,Delayed,British Airways (BA),premium,British Airways
Berlin,Tivat,Montenegro,2024-07-01,19,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Heraklion,Greece,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Istanbul IST,Turkey,2024-07-01,39,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Berlin,Stuttgart,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Munich,Germany,2024-07-01,15,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Beirut,Lebanon,2024-07-01,0,On Time,SUNDAIR (SDR),budget,Sundair
Berlin,Helsinki,Finland,2024-07-01,0,On Time,Finnair (AY),premium,Finnair
Berlin,Lisbon,Portugal,2024-07-01,40,Delayed,TAP Air Portugal (TP),premium,Tap Air Portugal
Berlin,Venice,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,London LGW,United Kingdom,2024-07-01,2,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Istanbul SAW,Turkey,2024-07-01,50,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Berlin,Venice,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Stockholm ARN,Sweden,2024-07-01,0,On Time,Norwegian Air (D8),budget,Norwegian Air
Berlin,Salzburg,Austria,2024-07-01,0,Cancelled,Eurowings (EW),budget,Eurowings
Berlin,Rhodos,Greece,2024-07-01,20,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Chania,Greece,2024-07-01,136,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Frankfurt,Germany,2024-07-01,10,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Budapest,Hungary,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Riga,Latvia,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Beijing,China,2024-07-01,0,On Time,Hainan Airlines (HU),premium,Hainan Airlines
Berlin,Reykjavik,Iceland,2024-07-01,0,On Time,Icelandair (FI),premium,Icelandair
Berlin,Malaga,Spain,2024-07-01,25,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Milan LIN,Italy,2024-07-01,14,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Stuttgart,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Glasgow,United Kingdom,2024-07-01,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Berlin,Amsterdam,Netherlands,2024-07-01,23,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Rhodos,Greece,2024-07-01,0,On Time,SUNDAIR (SDR),budget,Sundair
Berlin,Malaga,Spain,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Izmir ADB,Turkey,2024-07-01,0,On Time,Sun Express (XQ),budget,Sun Express
Berlin,Frankfurt,Germany,2024-07-01,25,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Zurich,Switzerland,2024-07-01,40,Delayed,Swiss (LX),premium,Swiss
Berlin,Paris Orly,France,2024-07-01,15,Delayed,Transavia France (TO),budget,Transavia France
Berlin,Barcelona,Spain,2024-07-01,0,Cancelled,Vueling Airlines (VY),budget,Vueling Airlines
Berlin,Copenhagen,Denmark,2024-07-01,10,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Berlin,London LHR,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Porto,Portugal,2024-07-01,2,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Barcelona,Spain,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,Istanbul IST,Turkey,2024-07-01,30,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Berlin,Lisbon,Portugal,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Brussels,Belgium,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Edinburgh,United Kingdom,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Paris CDG,France,2024-07-01,90,Delayed,Air France (AF),premium,Air France
Berlin,Tallinn,Estonia,2024-07-01,0,On Time,Air Baltic (BT),premium,Air Baltic
Berlin,Pristina,Kosovo,2024-07-01,31,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Zurich,Switzerland,2024-07-01,15,Delayed,Swiss (LX),premium,Swiss
Berlin,Cairo,Egypt,2024-07-01,38,Delayed,Egypt Air (MS),premium,Egypt Air
Berlin,London STN,United Kingdom,2024-07-01,0,On Time,Ryanair UK (RUK),budget,Ryanair Uk
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Nantes,France,2024-07-01,10,Delayed,Transavia France (TO),budget,Transavia France
Berlin,Doha,Qatar,2024-07-01,0,On Time,Qatar Airways (QR),premium,Qatar Airways
Berlin,Stuttgart,Germany,2024-07-01,30,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Heraklion,Greece,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Kos,Greece,2024-07-01,40,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Istanbul SAW,Turkey,2024-07-01,50,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Berlin,Rome FCO,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Bristol,United Kingdom,2024-07-01,20,Delayed,easyJet UK (U2),budget,Easyjet Uk
Berlin,Milan MXP,Italy,2024-07-01,0,Cancelled,Ryanair (FR),budget,Ryanair
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,London LCY,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Cologne/Bonn,Germany,2024-07-01,25,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Munich,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,Budapest,Hungary,2024-07-01,95,Delayed,Wizz Air (W6),budget,Wizz Air
Berlin,Lisbon,Portugal,2024-07-01,15,Delayed,TAP Air Portugal (TP),premium,Tap Air Portugal
Berlin,Antalya,Turkey,2024-07-01,45,Delayed,Sun Express (XQ),budget,Sun Express
Berlin,London LCY,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Milan BGY,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Amsterdam,Netherlands,2024-07-01,35,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Edinburgh,United Kingdom,2024-07-01,11,Delayed,easyJet UK (U2),budget,Easyjet Uk
Berlin,Naples,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Manchester,United Kingdom,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Copenhagen,Denmark,2024-07-01,30,Delayed,Norwegian Air (D8),budget,Norwegian Air
Berlin,Palma de Mallorca,Spain,2024-07-01,40,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Zurich,Switzerland,2024-07-01,45,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Rome FCO,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Paris CDG,France,2024-07-01,27,Delayed,Air France (AF),premium,Air France
Berlin,Helsinki,Finland,2024-07-01,15,Delayed,Finnair (AY),premium,Finnair
Berlin,Paris Orly,France,2024-07-01,30,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Vienna,Austria,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Sofia,Bulgaria,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,London STN,United Kingdom,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,London LGW,United Kingdom,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Dusseldorf,Germany,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Nice,France,2024-07-01,0,Cancelled,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Vienna,Austria,2024-07-01,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,Zurich,Switzerland,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Frankfurt,Germany,2024-07-01,20,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Zurich,Switzerland,2024-07-01,15,Delayed,Swiss (LX),premium,Swiss
Berlin,Brussels,Belgium,2024-07-01,0,On Time,Brussels Airlines (SN),premium,Brussels Airlines
Berlin,Amsterdam,Netherlands,2024-07-01,0,On Time,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Munich,Germany,2024-07-01,30,Delayed,Lufthansa (LH),premium,Lufthansa
Berlin,Antalya,Turkey,2024-07-01,30,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Berlin,Ankara ESB,Turkey,2024-07-01,0,On Time,(VF),budget,Valujet Airlines
Berlin,Barcelona,Spain,2024-07-01,160,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Bologna,Italy,2024-07-01,155,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Warsaw,Poland,2024-07-01,0,On Time,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Berlin,Paris CDG,France,2024-07-01,26,Delayed,Air France (AF),premium,Air France
Berlin,Palma de Mallorca,Spain,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Istanbul IST,Turkey,2024-07-01,60,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Berlin,New York JFK,United States,2024-07-01,0,On Time,(N0),budget,Norse Atlantic Airways
Berlin,Hurghada,Egypt,2024-07-01,0,On Time,Air Cairo (SM),budget,Air Cairo
Berlin,Riga,Latvia,2024-07-01,10,Delayed,Air Baltic (BT),premium,Air Baltic
Berlin,Zurich,Switzerland,2024-07-01,55,Delayed,Swiss (LX),premium,Swiss
Berlin,Vienna,Austria,2024-07-01,15,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Berlin,London LHR,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Madrid,Spain,2024-07-01,0,On Time,IBERIA Express (IBS),budget,Iberia Express
Berlin,Krakow,Poland,2024-07-01,115,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Graz,Austria,2024-07-01,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Alicante,Spain,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Stuttgart,Germany,2024-07-01,55,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Oslo,Norway,2024-07-01,30,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Berlin,Dusseldorf,Germany,2024-07-01,40,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Cologne/Bonn,Germany,2024-07-01,140,Delayed,Eurowings (EW),budget,Eurowings
Berlin,Athens,Greece,2024-07-01,0,On Time,Aegean Airlines (A3),premium,Aegean Airlines
Berlin,Zurich,Switzerland,2024-07-01,65,Delayed,Swiss (LX),premium,Swiss
Berlin,Paris CDG,France,2024-07-01,130,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Frankfurt,Germany,2024-07-01,0,On Time,Lufthansa (LH),premium,Lufthansa
Berlin,Dublin,Ireland,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Budapest,Hungary,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Bologna,Italy,2024-07-01,80,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Trondheim,Norway,2024-07-01,0,On Time,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Berlin,Milan LIN,Italy,2024-07-01,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,London STN,United Kingdom,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Luxembourg,Luxembourg,2024-07-01,15,Delayed,Luxair (LG),premium,Luxair
Berlin,Antalya,Turkey,2024-07-01,0,On Time,Sun Express (XQ),budget,Sun Express
Berlin,London LHR,United Kingdom,2024-07-01,0,On Time,British Airways (BA),premium,British Airways
Berlin,Stockholm ARN,Sweden,2024-07-01,0,On Time,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Berlin,Dublin,Ireland,2024-07-01,0,On Time,Aer Lingus (EI),premium,Aer Lingus
Berlin,Basel,Switzerland,2024-07-01,46,Delayed,easyJet Switzerland (DS),budget,Easyjet Switzerland
Berlin,Diyarbakir,Turkey,2024-07-01,75,Delayed,Sun Express (XQ),budget,Sun Express
Berlin,Nottingham EMA,United Kingdom,2024-07-01,55,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Pisa,Italy,2024-07-01,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Tirana,Albania,2024-07-01,0,Cancelled,Aero Services Executive (W4),premium,Aero Services Executive
Berlin,Rome FCO,Italy,2024-07-01,0,Cancelled,Aero Services Executive (W4),premium,Aero Services Executive
Berlin,Valencia,Spain,2024-07-01,0,Cancelled,Ryanair (FR),budget,Ryanair
Berlin,Tel Aviv,Israel,2024-07-01,0,On Time,EL AL- Israel Airlines (LY),premium,El Al- Israel Airlines
Berlin,Barcelona,Spain,2024-07-01,0,On Time,Vueling Airlines (VY),budget,Vueling Airlines
Berlin,Marseille,France,2024-07-02,305,Delayed,Ryanair (FR),budget,Ryanair
Berlin,Malaga,Spain,2024-07-02,0,On Time,Eurowings (EW),budget,Eurowings
Berlin,Malaga,Spain,2024-07-02,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,London LGW,United Kingdom,2024-07-02,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Brussels,Belgium,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Bucharest,Romania,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Amsterdam,Netherlands,2024-07-02,5,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Berlin,Varna,Bulgaria,2024-07-02,0,On Time,SUNDAIR (SDR),budget,Sundair
Berlin,Athens,Greece,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Edinburgh,United Kingdom,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Riga,Latvia,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Lisbon,Portugal,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Paris CDG,France,2024-07-02,0,On Time,Air France (AF),premium,Air France
Berlin,Gran Canaria,Spain,2024-07-02,0,On Time,Ryanair (FR),budget,Ryanair
Berlin,Naples,Italy,2024-07-02,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Berlin,Munich,Germany,2024-07-02,0,On Time,Lufthansa (LH),premium,Lufthansa
