departure_city,destination_city,country,date_arrive,arrival_time_difference,arrival_status,airline,airline_type,cleaned_airline
Geneva,Berlin,Switzerland,2024-07-01,-12,Early,easyJet Europe (EJU),budget,Easyjet Europe
Paris CDG,Berlin,France,2024-07-01,-12,Early,Air France (AF),premium,Air France
Vienna,Berlin,Austria,2024-07-01,68,Delayed,Eurowings (EW),budget,Eurowings
Istanbul SAW,Berlin,Turkey,2024-07-01,-4,Early,(VF),budget,Valujet Airlines
Zurich,Berlin,Switzerland,2024-07-01,-17,Early,Eurowings (EW),budget,Eurowings
Amsterdam,Berlin,Netherlands,2024-07-01,-7,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Reykjavik,Berlin,Iceland,2024-07-01,4,Delayed,(OG),budget,One-Two-Go Airlines
Antalya,Berlin,Turkey,2024-07-01,82,Delayed,Sun Express (XQ),budget,Sun Express
Thessaloniki,Berlin,Greece,2024-07-01,31,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
London LHR,Berlin,United Kingdom,2024-07-01,76,Delayed,British Airways (BA),premium,British Airways
Palma de Mallorca,Berlin,Spain,2024-07-01,-17,Early,SUNDAIR (SDR),budget,Sundair
Istanbul IST,Berlin,Turkey,2024-07-01,24,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Dusseldorf,Berlin,Germany,2024-07-01,10,Delayed,Eurowings (EW),budget,Eurowings
Munich,Berlin,Germany,2024-07-01,13,Delayed,Lufthansa (LH),premium,Lufthansa
Palma de Mallorca,Berlin,Spain,2024-07-01,-5,Early,easyJet Europe (EJU),budget,Easyjet Europe
Stuttgart,Berlin,Germany,2024-07-01,-3,Early,Eurowings (EW),budget,Eurowings
Bologna,Berlin,Italy,2024-07-01,-12,Early,Ryanair (FR),budget,Ryanair
Istanbul SAW,Berlin,Turkey,2024-07-01,-8,Early,Pegasus Airlines (PC),budget,Pegasus Airlines
Ibiza,Berlin,Spain,2024-07-01,-22,Early,Eurowings (EW),budget,Eurowings
Helsinki,Berlin,Finland,2024-07-01,-10,Early,Finnair (AY),premium,Finnair
Lisbon,Berlin,Portugal,2024-07-01,29,Delayed,TAP Air Portugal (TP),premium,Tap Air Portugal
Palma de Mallorca,Berlin,Spain,2024-07-01,5,Delayed,Ryanair (FR),budget,Ryanair
Milan LIN,Berlin,Italy,2024-07-01,-14,Early,easyJet Europe (EJU),budget,Easyjet Europe
Salzburg,Berlin,Austria,2024-07-01,0,Cancelled,Eurowings (EW),budget,Eurowings
Stockholm ARN,Berlin,Sweden,2024-07-01,21,Delayed,Norwegian Air (D8),budget,Norwegian Air
Basel,Berlin,Switzerland,2024-07-01,-6,Early,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-01,16,Delayed,Lufthansa (LH),premium,Lufthansa
Kos,Berlin,Greece,2024-07-01,29,Delayed,Ryanair (FR),budget,Ryanair
Munich,Berlin,Germany,2024-07-01,21,Delayed,Lufthansa (LH),premium,Lufthansa
Olbia,Berlin,Italy,2024-07-01,10,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Reykjavik,Berlin,Iceland,2024-07-01,-7,Early,Icelandair (FI),premium,Icelandair
Malaga,Berlin,Spain,2024-07-01,37,Delayed,Eurowings (EW),budget,Eurowings
Budapest,Berlin,Hungary,2024-07-01,-14,Early,Ryanair (FR),budget,Ryanair
New York JFK,Berlin,United States,2024-07-01,-27,Early,(N0),budget,Norse Atlantic Airways
Gothenburg GOT,Berlin,Sweden,2024-07-01,-22,Early,Eurowings (EW),budget,Eurowings
Izmir ADB,Berlin,Turkey,2024-07-01,-12,Early,Sun Express (XQ),budget,Sun Express
Amsterdam,Berlin,Netherlands,2024-07-01,18,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Chania,Berlin,Greece,2024-07-01,51,Delayed,Ryanair (FR),budget,Ryanair
Glasgow,Berlin,United Kingdom,2024-07-01,12,Delayed,easyJet UK (U2),budget,Easyjet Uk
Frankfurt,Berlin,Germany,2024-07-01,28,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-01,39,Delayed,Swiss (LX),premium,Swiss
Doha,Berlin,Qatar,2024-07-01,-7,Early,Qatar Airways (QR),premium,Qatar Airways
London LHR,Berlin,United Kingdom,2024-07-01,37,Delayed,British Airways (BA),premium,British Airways
Malaga,Berlin,Spain,2024-07-01,-18,Early,easyJet Europe (EJU),budget,Easyjet Europe
Istanbul IST,Berlin,Turkey,2024-07-01,26,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Paris Orly,Berlin,France,2024-07-01,0,On Time,Transavia France (TO),budget,Transavia France
Rome FCO,Berlin,Italy,2024-07-01,58,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Barcelona,Berlin,Spain,2024-07-01,0,Cancelled,Vueling Airlines (VY),budget,Vueling Airlines
Rhodos,Berlin,Greece,2024-07-01,178,Delayed,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-01,-3,Early,Austrian Airlines (OS),premium,Austrian Airlines
Heraklion,Berlin,Greece,2024-07-01,14,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Copenhagen,Berlin,Denmark,2024-07-01,7,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Bari,Berlin,Italy,2024-07-01,71,Delayed,Ryanair (FR),budget,Ryanair
Barcelona,Berlin,Spain,2024-07-01,131,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Paris CDG,Berlin,France,2024-07-01,72,Delayed,Air France (AF),premium,Air France
Cairo,Berlin,Egypt,2024-07-01,30,Delayed,Egypt Air (MS),premium,Egypt Air
Tallinn,Berlin,Estonia,2024-07-01,-1,Early,Air Baltic (BT),premium,Air Baltic
Zurich,Berlin,Switzerland,2024-07-01,17,Delayed,Swiss (LX),premium,Swiss
Munich,Berlin,Germany,2024-07-01,-1,Early,Lufthansa (LH),premium,Lufthansa
Nantes,Berlin,France,2024-07-01,-6,Early,Transavia France (TO),budget,Transavia France
Helsinki,Berlin,Finland,2024-07-01,-1,Early,Eurowings (EW),budget,Eurowings
London STN,Berlin,United Kingdom,2024-07-01,6,Delayed,Ryanair UK (RUK),budget,Ryanair Uk
Istanbul SAW,Berlin,Turkey,2024-07-01,56,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Stuttgart,Berlin,Germany,2024-07-01,25,Delayed,Eurowings (EW),budget,Eurowings
Milan MXP,Berlin,Italy,2024-07-01,106,Delayed,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-01,10,Delayed,Lufthansa (LH),premium,Lufthansa
Bristol,Berlin,United Kingdom,2024-07-01,8,Delayed,easyJet UK (U2),budget,Easyjet Uk
London LCY,Berlin,United Kingdom,2024-07-01,-3,Early,British Airways (BA),premium,British Airways
Palma de Mallorca,Berlin,Spain,2024-07-01,94,Delayed,Eurowings (EW),budget,Eurowings
Munich,Berlin,Germany,2024-07-01,2,Delayed,Lufthansa (LH),premium,Lufthansa
Rome FCO,Berlin,Italy,2024-07-01,15,Delayed,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-01,-9,Early,Austrian Airlines (OS),premium,Austrian Airlines
Cologne/Bonn,Berlin,Germany,2024-07-01,18,Delayed,Eurowings (EW),budget,Eurowings
Bucharest,Berlin,Romania,2024-07-01,0,Cancelled,Ryanair (FR),budget,Ryanair
Lisbon,Berlin,Portugal,2024-07-01,12,Delayed,TAP Air Portugal (TP),premium,Tap Air Portugal
Catania,Berlin,Italy,2024-07-01,14,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Budapest,Berlin,Hungary,2024-07-01,91,Delayed,Wizz Air (W6),budget,Wizz Air
Antalya,Berlin,Turkey,2024-07-01,8,Delayed,Sun Express (XQ),budget,Sun Express
Amsterdam,Berlin,Netherlands,2024-07-01,21,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
London LCY,Berlin,United Kingdom,2024-07-01,-10,Early,British Airways (BA),premium,British Airways
Heraklion,Berlin,Greece,2024-07-01,-16,Early,SUNDAIR (SDR),budget,Sundair
Split,Berlin,Croatia,2024-07-01,5,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-01,3,Delayed,Lufthansa (LH),premium,Lufthansa
Edinburgh,Berlin,United Kingdom,2024-07-01,10,Delayed,easyJet UK (U2),budget,Easyjet Uk
Palma de Mallorca,Berlin,Spain,2024-07-01,53,Delayed,Ryanair (FR),budget,Ryanair
Paris CDG,Berlin,France,2024-07-01,23,Delayed,Air France (AF),premium,Air France
Palma de Mallorca,Berlin,Spain,2024-07-01,45,Delayed,Eurowings (EW),budget,Eurowings
Venice,Berlin,Italy,2024-07-01,32,Delayed,Ryanair (FR),budget,Ryanair
Copenhagen,Berlin,Denmark,2024-07-01,24,Delayed,Norwegian Air (D8),budget,Norwegian Air
Helsinki,Berlin,Finland,2024-07-01,3,Delayed,Finnair (AY),premium,Finnair
Venice,Berlin,Italy,2024-07-01,66,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Manchester,Berlin,United Kingdom,2024-07-01,44,Delayed,Ryanair (FR),budget,Ryanair
Stuttgart,Berlin,Germany,2024-07-01,17,Delayed,Eurowings (EW),budget,Eurowings
Dusseldorf,Berlin,Germany,2024-07-01,-4,Early,Eurowings (EW),budget,Eurowings
Riga,Berlin,Latvia,2024-07-01,36,Delayed,Ryanair (FR),budget,Ryanair
London STN,Berlin,United Kingdom,2024-07-01,27,Delayed,Ryanair (FR),budget,Ryanair
Tivat,Berlin,Montenegro,2024-07-01,89,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Ankara ESB,Berlin,Turkey,2024-07-01,2,Delayed,(VF),budget,Valujet Airlines
Paris CDG,Berlin,France,2024-07-01,31,Delayed,Air France (AF),premium,Air France
Munich,Berlin,Germany,2024-07-01,36,Delayed,Lufthansa (LH),premium,Lufthansa
Milan LIN,Berlin,Italy,2024-07-01,59,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Barcelona,Berlin,Spain,2024-07-01,146,Delayed,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-01,166,Delayed,Ryanair (FR),budget,Ryanair
Bologna,Berlin,Italy,2024-07-01,101,Delayed,Ryanair (FR),budget,Ryanair
Antalya,Berlin,Turkey,2024-07-01,97,Delayed,Sun Express (XQ),budget,Sun Express
Rhodos,Berlin,Greece,2024-07-01,59,Delayed,Eurowings (EW),budget,Eurowings
Palma de Mallorca,Berlin,Spain,2024-07-01,124,Delayed,Ryanair (FR),budget,Ryanair
Chania,Berlin,Greece,2024-07-01,134,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
London STN,Berlin,United Kingdom,2024-07-01,80,Delayed,Ryanair (FR),budget,Ryanair
Stockholm ARN,Berlin,Sweden,2024-07-01,1,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Vienna,Berlin,Austria,2024-07-01,-6,Early,Eurowings (EW),budget,Eurowings
Nottingham EMA,Berlin,United Kingdom,2024-07-01,59,Delayed,Ryanair (FR),budget,Ryanair
Pisa,Berlin,Italy,2024-07-01,50,Delayed,Ryanair (FR),budget,Ryanair
Barcelona,Berlin,Spain,2024-07-01,12,Delayed,Vueling Airlines (VY),budget,Vueling Airlines
Zurich,Berlin,Switzerland,2024-07-01,27,Delayed,Eurowings (EW),budget,Eurowings
Amsterdam,Berlin,Netherlands,2024-07-01,-1,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Malaga,Berlin,Spain,2024-07-01,71,Delayed,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-01,16,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Paris Orly,Berlin,France,2024-07-01,76,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Brussels,Berlin,Belgium,2024-07-01,-8,Early,Brussels Airlines (SN),premium,Brussels Airlines
Zurich,Berlin,Switzerland,2024-07-01,36,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Palma de Mallorca,Berlin,Spain,2024-07-01,82,Delayed,Ryanair (FR),budget,Ryanair
London LHR,Berlin,United Kingdom,2024-07-01,43,Delayed,British Airways (BA),premium,British Airways
Copenhagen,Berlin,Denmark,2024-07-01,9,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-01,39,Delayed,Lufthansa (LH),premium,Lufthansa
Beirut,Berlin,Lebanon,2024-07-01,7,Delayed,SUNDAIR (SDR),budget,Sundair
Porto,Berlin,Portugal,2024-07-01,19,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Rhodos,Berlin,Greece,2024-07-01,12,Delayed,SUNDAIR (SDR),budget,Sundair
Munich,Berlin,Germany,2024-07-01,27,Delayed,Lufthansa (LH),premium,Lufthansa
Paris CDG,Berlin,France,2024-07-01,20,Delayed,Air France (AF),premium,Air France
London LGW,Berlin,United Kingdom,2024-07-01,6,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Krakow,Berlin,Poland,2024-07-01,-17,Early,Ryanair (FR),budget,Ryanair
Lisbon,Berlin,Portugal,2024-07-01,62,Delayed,Ryanair (FR),budget,Ryanair
Naples,Berlin,Italy,2024-07-01,50,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Marsa Alam,Berlin,Egypt,2024-07-01,30,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Rome FCO,Berlin,Italy,2024-07-01,0,Cancelled,Ryanair (FR),budget,Ryanair
Bologna,Berlin,Italy,2024-07-01,23,Delayed,Ryanair (FR),budget,Ryanair
Zurich,Berlin,Switzerland,2024-07-01,5,Delayed,Swiss (LX),premium,Swiss
Nice,Berlin,France,2024-07-01,0,Cancelled,easyJet Europe (EJU),budget,Easyjet Europe
Sofia,Berlin,Bulgaria,2024-07-01,0,Cancelled,Ryanair (FR),budget,Ryanair
Madrid,Berlin,Spain,2024-07-01,-7,Early,IBERIA Express (IBS),budget,Iberia Express
Paris Orly,Berlin,France,2024-07-01,-1,Early,Transavia France (TO),budget,Transavia France
Kos,Berlin,Greece,2024-07-01,31,Delayed,Eurowings (EW),budget,Eurowings
Heraklion,Berlin,Greece,2024-07-01,20,Delayed,Eurowings (EW),budget,Eurowings
Reykjavik,Berlin,Iceland,2024-07-02,-15,Early,Icelandair (FI),premium,Icelandair
Izmir ADB,Berlin,Turkey,2024-07-02,-11,Early,Sun Express (XQ),budget,Sun Express
Diyarbakir,Berlin,Turkey,2024-07-02,357,Delayed,Sun Express (XQ),budget,Sun Express
New York EWR,Berlin,United States,2024-07-02,-25,Early,United Airlines (UA),premium,United Airlines
Chisinau,Berlin,Moldova,2024-07-02,2,Delayed,Fly One (FIA),budget,Fly One
Stuttgart,Berlin,Germany,2024-07-02,-6,Early,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-02,-11,Early,Lufthansa (LH),premium,Lufthansa
Riga,Berlin,Latvia,2024-07-02,-13,Early,Air Baltic (BT),premium,Air Baltic
Cologne/Bonn,Berlin,Germany,2024-07-02,-6,Early,Eurowings (EW),budget,Eurowings
Dusseldorf,Berlin,Germany,2024-07-02,0,Cancelled,Eurowings (EW),budget,Eurowings
New York JFK,Berlin,United States,2024-07-02,-11,Early,Delta Air Lines (DL),premium,Delta Air Lines
Trieste,Berlin,Italy,2024-07-02,-19,Early,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-02,-13,Early,Lufthansa (LH),premium,Lufthansa
Helsinki,Berlin,Finland,2024-07-02,-13,Early,Finnair (AY),premium,Finnair
Saarbrücken,Berlin,Germany,2024-07-02,-10,Early,Danish Air Transport (DX),premium,Danish Air Transport
Luxembourg,Berlin,Luxembourg,2024-07-02,-7,Early,Luxair (LG),premium,Luxair
Munich,Berlin,Germany,2024-07-02,-6,Early,Lufthansa (LH),premium,Lufthansa
Belgrade,Berlin,Serbia,2024-07-02,19,Delayed,Wizz Air (W6),budget,Wizz Air
Vienna,Berlin,Austria,2024-07-02,2,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Palermo,Berlin,Italy,2024-07-02,-10,Early,Ryanair (FR),budget,Ryanair
Milan BGY,Berlin,Italy,2024-07-02,-13,Early,Ryanair (FR),budget,Ryanair
Amsterdam,Berlin,Netherlands,2024-07-02,-6,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Oslo,Berlin,Norway,2024-07-02,-4,Early,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Milan LIN,Berlin,Italy,2024-07-02,-18,Early,easyJet Europe (EJU),budget,Easyjet Europe
Zurich,Berlin,Switzerland,2024-07-02,1,Delayed,Swiss (LX),premium,Swiss
Frankfurt,Berlin,Germany,2024-07-02,-2,Early,Lufthansa (LH),premium,Lufthansa
Munich,Berlin,Germany,2024-07-02,30,Delayed,Lufthansa (LH),premium,Lufthansa
Dusseldorf,Berlin,Germany,2024-07-02,-10,Early,Eurowings (EW),budget,Eurowings
Brussels,Berlin,Belgium,2024-07-02,-2,Early,Ryanair (FR),budget,Ryanair
Istanbul IST,Berlin,Turkey,2024-07-02,5,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Copenhagen,Berlin,Denmark,2024-07-02,-8,Early,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Palma de Mallorca,Berlin,Spain,2024-07-02,-8,Early,Ryanair (FR),budget,Ryanair
Izmir ADB,Berlin,Turkey,2024-07-02,20,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
London LGW,Berlin,United Kingdom,2024-07-02,-14,Early,easyJet UK (U2),budget,Easyjet Uk
Dublin,Berlin,Ireland,2024-07-02,-15,Early,Ryanair (FR),budget,Ryanair
Tel Aviv,Berlin,Israel,2024-07-02,-4,Early,EL AL- Israel Airlines (LY),premium,El Al- Israel Airlines
Antalya,Berlin,Turkey,2024-07-02,124,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Riga,Berlin,Latvia,2024-07-02,8,Delayed,Ryanair (FR),budget,Ryanair
Amsterdam,Berlin,Netherlands,2024-07-02,-2,Early,easyJet Europe (EJU),budget,Easyjet Europe
Malta,Berlin,Malta,2024-07-02,0,On Time,Air Malta (KM),premium,Air Malta
Frankfurt,Berlin,Germany,2024-07-02,-9,Early,Lufthansa (LH),premium,Lufthansa
Munich,Berlin,Germany,2024-07-02,3,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-02,9,Delayed,Swiss (LX),premium,Swiss
London LHR,Berlin,United Kingdom,2024-07-02,-9,Early,British Airways (BA),premium,British Airways
Stuttgart,Berlin,Germany,2024-07-02,-4,Early,Eurowings (EW),budget,Eurowings
Vienna,Berlin,Austria,2024-07-02,4,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
London LGW,Berlin,United Kingdom,2024-07-02,9,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Kaunas,Berlin,Lithuania,2024-07-02,-12,Early,Ryanair (FR),budget,Ryanair
Warsaw,Berlin,Poland,2024-07-02,6,Delayed,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Madrid,Berlin,Spain,2024-07-02,-14,Early,IBERIA Express (IBS),budget,Iberia Express
Baku,Berlin,Azerbaijan,2024-07-02,-32,Early,Azerbaijan Airlines (J2),premium,Azerbaijan Airlines
Athens,Berlin,Greece,2024-07-02,35,Delayed,Aegean Airlines (A3),premium,Aegean Airlines
Edinburgh,Berlin,United Kingdom,2024-07-02,-8,Early,Ryanair (FR),budget,Ryanair
Faro,Berlin,Portugal,2024-07-02,2,Delayed,Ryanair (FR),budget,Ryanair
Bucharest,Berlin,Romania,2024-07-02,143,Delayed,Ryanair (FR),budget,Ryanair
Marseille,Berlin,France,2024-07-02,-3,Early,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-02,0,On Time,Brussels Airlines (SN),premium,Brussels Airlines
Frankfurt,Berlin,Germany,2024-07-02,-1,Early,Lufthansa (LH),premium,Lufthansa
Monastir,Berlin,Tunisia,2024-07-02,39,Delayed,Nouvelair Tunisie (BJ),budget,Nouvelair Tunisie
London LCY,Berlin,United Kingdom,2024-07-02,-7,Early,British Airways (BA),premium,British Airways
Stuttgart,Berlin,Germany,2024-07-02,-2,Early,Eurowings (EW),budget,Eurowings
